iteration	shuffle_r_with_success	n_subjects
1	-0.3398955815174975	33
2	-0.005061476004208956	33
3	0.2546199223067489	33
4	0.1485071838750886	33
5	-0.09485256153843682	33
6	-0.22575136219950834	33
7	-0.12305709435375378	33
8	-0.02403600291665418	33
9	-0.12008731179145579	33
10	-0.16339508893825533	33
11	0.012461850313401043	33
12	0.49959741757480686	33
13	-0.017276245038370282	33
14	-0.054493334348092594	33
15	0.023731164663037367	33
16	-0.19577434785263656	33
17	0.12641546740356432	33
18	-0.07945959897510887	33
19	-0.09614120506338417	33
20	0.16423103914089784	33
21	-0.05284479311733191	33
22	0.04287077889164736	33
23	0.17788990587153655	33
24	0.07559601480027746	33
25	-0.18913225955568985	33
26	-0.09724983658170698	33
27	0.059401756421847404	33
28	0.22674690035365078	33
29	0.08342486800335452	33
30	0.05783854535995915	33
31	0.2852459897507862	33
32	-0.08207297460637825	33
33	-0.062463645758483025	33
34	-0.18685190613844774	33
35	0.13343298747376825	33
36	0.07955579214387576	33
37	-0.08951002166312151	33
38	-0.022319295121984058	33
39	-0.0008966719975586363	33
40	-0.20489817422497464	33
41	-0.23502512019896754	33
42	-0.11445593509553374	33
43	-0.18840477106044307	33
44	-0.08387283981892672	33
45	-0.21337855998050068	33
46	-0.2306660942033065	33
47	-0.08051139359702897	33
48	-0.178119753243235	33
49	-0.2095207084673203	33
50	-0.2586753624796921	33
51	0.15950438911467166	33
52	-0.2534513738216092	33
53	0.06724918903026326	33
54	0.3155980181792577	33
55	-0.17869822363919233	33
56	-0.15836545536546506	33
57	0.15107887288117916	33
58	0.12107927675455325	33
59	0.25151361004692474	33
60	-0.31997441722802084	33
61	-0.01121758598571678	33
62	-0.3601162272453046	33
63	-0.046282358185299605	33
64	-0.006435328962485559	33
65	0.15793607036351237	33
66	-0.3717067484548588	33
67	-0.16095910649258918	33
68	-0.056401371187685664	33
69	0.029164874735212294	33
70	-0.06447540902358585	33
71	-0.17441901037670582	33
72	0.08277181705357262	33
73	0.012160989707713656	33
74	-0.15278316864880284	33
75	-0.2578341605336544	33
76	0.1214604465569933	33
77	0.06337901557035198	33
78	-0.16591355925019072	33
79	-0.03653916486784799	33
80	0.14705175117354846	33
81	0.22978902430700013	33
82	0.18064015588014343	33
83	0.17052088324936196	33
84	-0.20073130319036256	33
85	0.03306975210808361	33
86	0.01802254833103833	33
87	0.11781834624004664	33
88	0.14451008334859164	33
89	0.0891447920744984	33
90	-0.22454546719828516	33
91	-0.25957426158348385	33
92	-0.18483960849620773	33
93	0.31861473810681257	33
94	-0.2302192674318376	33
95	-0.02438088443642965	33
96	0.07667681325461041	33
97	0.2636941293577021	33
98	-0.24387782653284645	33
99	0.0651281712028652	33
100	-0.32363891807203476	33
101	-0.09884608861005431	33
102	0.16414939788898567	33
103	0.1791117152706201	33
104	0.023542879239566532	33
105	-0.3443962623494153	33
106	-0.1523114398699802	33
107	-0.08511429793133643	33
108	-0.02350799020749049	33
109	0.07442741494999924	33
110	-0.1762692449430615	33
111	-0.18969266652156694	33
112	0.3081941794767557	33
113	-0.12461978582334932	33
114	0.03872966374683545	33
115	0.11259871975194469	33
116	0.18389580503284267	33
117	0.03450687762587362	33
118	-0.41098824935969686	33
119	-0.221714554461194	33
120	0.26799357931412343	33
121	0.25192224313624206	33
122	0.23999861892353358	33
123	-0.2669708864661604	33
124	-0.22766528488225993	33
125	-0.10671714726929316	33
126	-0.6310422575946559	33
127	0.01624271693383253	33
128	-0.203656085205767	33
129	-0.0775736363332993	33
130	-0.019411977022399222	33
131	0.08393057856876641	33
132	-0.10425792928375581	33
133	0.23653769342343237	33
134	0.19340500383788087	33
135	-0.2433719646388855	33
136	-0.1735364068077734	33
137	0.31046142740298177	33
138	-0.2524500091008004	33
139	0.008008643840928448	33
140	0.06826162136641163	33
141	-0.31941659845163684	33
142	-0.23241014725101558	33
143	0.05477716230007299	33
144	0.22139958084482533	33
145	0.00902085012944182	33
146	0.1274531318816755	33
147	0.07356015511230693	33
148	-0.32464739948796484	33
149	0.0027770179734400826	33
150	-0.05131995655637079	33
151	0.0029022865854238453	33
152	0.04326623321449013	33
153	-0.13350414921691228	33
154	-0.12036348228714479	33
155	0.12027286666908935	33
156	-0.03454650167800116	33
157	0.1586365293107472	33
158	-0.16581755885941563	33
159	0.1185090405128229	33
160	0.05713930884888323	33
161	0.2722885670558096	33
162	-0.34256426362818326	33
163	0.08475775879664608	33
164	-0.37135151166194624	33
165	0.18221559580628172	33
166	-0.0071710145701162015	33
167	0.28947003664851356	33
168	-0.06353847749504009	33
169	-0.29836995401331945	33
170	-0.18128125355638244	33
171	0.16651913259666562	33
172	0.03277510632714197	33
173	0.029040029261752913	33
174	-0.18886510657055952	33
175	0.13222200873717593	33
176	0.03420137415798806	33
177	0.04701539905678442	33
178	0.16587506929129806	33
179	-0.22955183003815674	33
180	-0.3023212643633701	33
181	0.02034445672755464	33
182	0.061895196224881766	33
183	-0.18434236931198786	33
184	0.2535564096045443	33
185	0.21738536453835605	33
186	0.06493095809645148	33
187	0.16194039081288775	33
188	-0.24231672672563528	33
189	-0.23201535172455898	33
190	0.2636284922972202	33
191	0.19520658478335404	33
192	-0.3844292598348617	33
193	0.03461842571520767	33
194	0.16227443939878972	33
195	0.15005986464533053	33
196	0.023463323380468908	33
197	0.012880744658042328	33
198	0.12910323231702514	33
199	-0.055319202153610525	33
200	0.2727017276863002	33
201	0.13026395211276684	33
202	0.2868707829952054	33
203	-0.03902176120544626	33
204	0.18247774643858644	33
205	0.12438963297461897	33
206	0.23143528780357792	33
207	0.03264765923305824	33
208	0.09415750138029451	33
209	-0.2627773993222319	33
210	0.179389956731492	33
211	-0.053004916724087164	33
212	-0.16468888610677926	33
213	0.10197621906040619	33
214	-0.08669042519460954	33
215	0.19767938696844134	33
216	-0.1713811888044224	33
217	-0.12520201801962677	33
218	-0.1601542684626832	33
219	-0.023601252278165383	33
220	0.08696282745239643	33
221	0.33652207855658733	33
222	-0.14742554912038744	33
223	0.06717828298592443	33
224	-0.20968252443632435	33
225	0.10717690671942326	33
226	-0.25105284220143514	33
227	-0.20281195094756807	33
228	0.1237540699853423	33
229	0.22250558012280255	33
230	0.17818416443343138	33
231	-0.23342507012074323	33
232	-0.0704455515624436	33
233	-0.49561415252459345	33
234	-0.06766051480096424	33
235	-0.4161788124334761	33
236	0.21857169082831174	33
237	-0.06488125616541911	33
238	0.1676734751454148	33
239	0.11073573299877841	33
240	0.08546929886470357	33
241	-0.035073646432436274	33
242	-0.10513861752618672	33
243	0.043302663489748004	33
244	-0.27083115822719434	33
245	-0.1241645865025996	33
246	-0.1998692294592816	33
247	-0.05973104834241251	33
248	-0.11321296051637486	33
249	-0.3268424751355933	33
250	-0.07682653879659568	33
251	-0.32203289656309847	33
252	0.21614354602529867	33
253	-6.445733206354503e-05	33
254	0.17310775962156713	33
255	0.07734513657652997	33
256	0.22667944709576945	33
257	-0.06822104518946473	33
258	-0.04797149929364718	33
259	-0.17520068126506674	33
260	0.09483562622481731	33
261	0.22541294636810957	33
262	0.3403028279985303	33
263	0.00744857741215697	33
264	0.0395510364929638	33
265	-0.13735238937075933	33
266	0.09709669670242597	33
267	-0.10524581561576808	33
268	0.07935472802925098	33
269	-0.09612212796874539	33
270	-0.2221759406285749	33
271	0.1511683482562857	33
272	-0.08717558966817344	33
273	0.035945252179993545	33
274	0.10211192674104085	33
275	-0.4494094081543281	33
276	-0.2544933391949072	33
277	0.09070029441201763	33
278	-0.07864085781517972	33
279	0.10731312864081552	33
280	-0.14637035409848845	33
281	0.03417096638298901	33
282	0.18031923242932735	33
283	0.1684798709461861	33
284	-0.0035269221451885158	33
285	0.08835070491800921	33
286	-0.05688887315568042	33
287	-0.05344119079690103	33
288	0.054824389963751205	33
289	-0.16249434278620498	33
290	-0.4528749170523919	33
291	-0.088090618411053	33
292	-0.04617795915517511	33
293	0.3700642658897024	33
294	-0.3717971478006415	33
295	-0.02379669184471933	33
296	0.10966983444432124	33
297	0.05398674925660087	33
298	0.09656257895687496	33
299	-0.2807491832652496	33
300	0.14638327191304515	33
301	0.2488656850336675	33
302	0.20309924544930677	33
303	-0.058242053442205975	33
304	-0.13236807384567315	33
305	-0.30316914153187985	33
306	-0.13804738949630777	33
307	0.19472472735800322	33
308	-0.15770813536052683	33
309	0.10616541125062665	33
310	-0.1982136462145393	33
311	-0.32198617061347495	33
312	0.08812249612108822	33
313	-0.4176458231357307	33
314	0.09405423332541477	33
315	-0.22278203032660485	33
316	0.2691283876994073	33
317	0.08806021267244676	33
318	-0.38483340755250717	33
319	0.01508453964831286	33
320	0.16276110290845308	33
321	-0.2054800108508937	33
322	-0.12091715383614866	33
323	-0.034308634013650446	33
324	-0.3742321750238441	33
325	-0.09590011955852391	33
326	0.28429689569967403	33
327	0.23978075102323085	33
328	-0.2664980184669708	33
329	-0.030068348236449608	33
330	-0.06737928845002941	33
331	0.021404868433175704	33
332	-0.0618047621204625	33
333	0.2822598869729962	33
334	-0.15336707378327266	33
335	0.13841640467281704	33
336	-0.052060313579028364	33
337	-0.07417142293083846	33
338	-0.12137277091588652	33
339	-0.21546051469959077	33
340	0.023479948887538744	33
341	-0.21052794607926498	33
342	-0.29196694614005336	33
343	0.30987191899358624	33
344	0.01831161472857945	33
345	-0.16990331743733073	33
346	0.07360334406404255	33
347	-0.3116245082155094	33
348	0.3796102001451973	33
349	-0.14778617534671085	33
350	-0.10243011071027347	33
351	-0.03507041742537132	33
352	-0.11541158018658233	33
353	0.006579565530169932	33
354	0.04632772529158777	33
355	-0.0393762942783835	33
356	-0.4769552055395012	33
357	-0.055561477275069944	33
358	0.08597937346495838	33
359	0.14483750998323755	33
360	0.19884616569287134	33
361	-0.13288380729285582	33
362	-0.3680570173271806	33
363	-0.2723713707348103	33
364	0.16694529174857647	33
365	0.37034921724617337	33
366	0.21027141470646374	33
367	-0.2288899194567735	33
368	0.2434969249159307	33
369	0.07581144361943756	33
370	0.18121118678240333	33
371	-0.04805234611577943	33
372	0.3203546620249052	33
373	0.29316604106807836	33
374	0.1972369714352511	33
375	-0.08794788370179941	33
376	0.024855220003674156	33
377	0.13187132764927054	33
378	-0.12990416661643145	33
379	-0.20915455834863522	33
380	-0.05683885632266768	33
381	-0.18996633504101965	33
382	-0.07929415148023064	33
383	-0.1745295547830285	33
384	-0.14330267305512107	33
385	0.24771911082447945	33
386	0.13734096544718574	33
387	-0.43591021079898756	33
388	-0.05739449474334462	33
389	-0.21095087158416662	33
390	-0.1257439130312499	33
391	-0.4430826996703653	33
392	0.05725022753383457	33
393	-0.003302143674022505	33
394	0.06192976585011435	33
395	0.26907433067144254	33
396	-0.2252124214517393	33
397	0.12722380139991168	33
398	-0.12369011016725592	33
399	-0.21594819943110716	33
400	0.1481120972640175	33
401	0.03812455145978064	33
402	0.3022089630110065	33
403	0.22820617687494785	33
404	0.07529368906383796	33
405	-0.11879529375499386	33
406	0.06762978223147689	33
407	-0.005783506177749462	33
408	-0.02573413131494104	33
409	0.058329780373221465	33
410	0.07297879201631816	33
411	0.03225486176203385	33
412	-0.14350588701771766	33
413	0.15045212071959413	33
414	-0.07035965044262646	33
415	0.1349737760278165	33
416	-0.2291784458708808	33
417	0.32238227112573004	33
418	0.04537457031171897	33
419	-0.1707705375751037	33
420	0.27484550431476107	33
421	0.00020120792833035021	33
422	0.02965807932782058	33
423	-0.21492585802388328	33
424	-0.14379662028926057	33
425	0.2041415410543144	33
426	-0.11690502701682952	33
427	-0.2257014947274269	33
428	0.2154628727665997	33
429	-0.006392837608071442	33
430	-0.17693105531553116	33
